Time,WS_S1,WS_S4,FLOW_S25A,GATE_S25A,HWS_S25A,TWS_S25A,FLOW_S25B,GATE_S25B,GATE_S25B2,HWS_S25B,TWS_S25B,PUMP_S25B,FLOW_S26,GATE_S26_1,GATE_S26_2,HWS_S26,TWS_S26,PUMP_S26,MEAN_RAIN
1/1/10 00:00,0.33,0.34,0,0,2.17,0.49,0,0,0,2.84,0.58,0,0,0,0,2.78,0.505,0,0
1/1/10 01:00,-0.29,-0.28,0,0,2.17,0.02,0,0,0,2.84,-0.07,0,0,0,0,2.78,-0.11,0,0
1/1/10 02:00,-0.81,-0.73,0,0,2.17,-0.49,0,0,0,2.84,-0.62,0,0,0,0,2.79,-0.65,0,0
1/1/10 03:00,-0.98,-0.85,0,0,2.15,-0.75,0,0,0,2.83,-0.82,0,0,0,0,2.79,-0.85,0,0
1/1/10 04:00,-0.69,-0.49,0,0,2.13,-0.55,0,0,0,2.84,-0.53,0,0,0,0,2.79,-0.55,0,0
1/1/10 05:00,0.03,0.21,0,0,2.12,0.12,0,0,0,2.84,0.19,0,87.12,0,0.35,2.4,0.15,0,0
1/1/10 06:00,0.86,0.92,0,0,2.11,0.97,0,0,0,2.85,1.05,0,474.63,0,2.63,2.41,1.03,0,0
1/1/10 07:00,1.42,1.54,0,0,2.11,1.54,0,0,0,2.84,1.57,0,381.67,0,2.63,2.43,1.53,0,0
1/1/10 08:00,1.99,2.07,0,0,2.11,2.13,0,0,0,2.84,2.16,0,246.94,0,2.63,2.51,2.13,0,0
1/1/10 09:00,2.29,2.34,0,0,2.13,2.46,0,0,0,2.83,2.48,0,153.99,0,2.63,2.59,2.42,0,0
1/1/10 10:00,2.23,2.2,0,0,2.16,2.4,0,0,0,2.84,2.43,0,153.99,0,2.63,2.59,2.42,0,0
1/1/10 11:00,1.68,1.62,0,0,2.18,1.91,0,0,0,2.85,1.89,0,324.06,0,2.63,2.51,1.85,0,0
1/1/10 12:00,1.02,1.01,0,0,2.19,1.24,0,0,0,2.84,1.22,0,441.35,0,2.63,2.37,1.19,0,0
1/1/10 13:00,0.42,0.44,0,0,2.2,0.73,0,0,0,2.84,0.6,0,0,0,0,2.63,0.58,0,0
1/1/10 14:00,-0.19,-0.16,0,0,2.19,0.09,0,0,0,2.84,0.01,0,0,0,0,2.61,0,0,0
1/1/10 15:00,-0.62,-0.51,0,0,2.18,-0.37,0,0,0,2.86,-0.46,0,0,0,0,2.7,-0.45,0,0
1/1/10 16:00,-0.72,-0.59,0,0,2.17,-0.54,0,0,0,2.85,-0.58,0,0,0,0,2.71,-0.64,0,0.011875
1/1/10 17:00,-0.24,-0.01,0,0,2.17,-0.13,0,0,0,2.87,-0.08,0,0,0,0,2.73,-0.1,0,0
1/1/10 18:00,0.6,0.75,0,0,2.16,0.71,0,0,0,2.87,0.78,0,0,0,0,2.76,0.71,0,0
1/1/10 19:00,1.2,1.33,0,0,2.15,1.32,0,0,0,2.88,1.34,0,0,0,0,2.78,1.3,0,0
1/1/10 20:00,1.69,1.72,0,0,2.15,1.78,0,0,0,2.88,1.86,0,360.72,0,2.61,2.58,1.78,0,0
1/1/10 21:00,1.98,2.05,0,0,2.16,2.16,0,0,0,2.9,2.15,0,298.48,0,2.62,2.64,2.11,0,0
1/1/10 22:00,1.96,1.95,0,0,2.18,2.16,0,0,0,2.87,2.17,0,275.03,0,2.62,2.59,2.14,0,0
1/1/10 23:00,1.4,1.3,0,0,2.19,1.62,0,0,0,2.86,1.61,0,384.61,0,2.62,2.46,1.61,0,0
1/2/10 00:00,0.66,0.6,0,0,2.19,0.9,0,0,0,2.87,0.87,0,484.98,0,2.61,2.37,0.82,0,0
1/2/10 01:00,-0.09,-0.07,0,0,2.19,0.2,0,0,0,2.86,0.12,0,0,0,0,2.62,0.06,0,0
1/2/10 02:00,-0.7,-0.68,0,0,2.18,-0.36,0,0,0,2.85,-0.5,0,0,0,0,2.66,-0.55,0,0
1/2/10 03:00,-1.02,-1.02,0,0,2.16,-0.75,0,0,0,2.86,-0.94,0,0,0,0,2.69,-0.97,0,0
